Player,Name,Position,Age,Height,Weight,Current Team,FGM,FGA,FG%,Type,Salary,,Video
<img src='snell.png' height='80'></img>,Tony Snell,G,29,"6'6""",213,ATL,14,27,51.90%,Unrestricted,"$11,500,000 ",,https://www.youtube.com/embed/mdqPi1XfS8w
<img src='hart.png' height='80'></img>,Josh Hart,G,26,"6'5""",215,NOP,14,37,37.80%,Restricted,"$2,118,750 ",,https://www.youtube.com/embed/w4Phkd-f4vE
<img src='caruso.png' height='80'></img>,Alex Caruso,G,27,"6'4""",186,LAL,13,29,44.80%,Unrestricted,"$2,750,000 ",,https://www.youtube.com/embed/pmp5q5MQoHk
<img src='tucker.jpg' height='80'></img>,P.J. Tucker,F,36,"6'5""",245,MIL,13,49,26.50%,Unrestricted,"$7,969,537 ",,https://www.youtube.com/embed/qEA-JAZIMAI
<img src='brown.png' height='80'></img>,Sterling Brown,G-F,26,"6'5""",219,HOU,13,33,39.40%,Unrestricted,"$1,678,854 ",,https://www.youtube.com/embed/_EEBoGTK_Cg
<img src='davis.png' height='80'></img>,Terence Davis,G,24,"6'4""",201,SAC,13,24,54.20%,Restricted,"$1,208,146 ",,https://www.youtube.com/embed/ZUqJoTBoT8o
<img src='ojeleye.png' height='80'></img>,Semi Ojeleye,F,26,"6'6""",240,BOS,13,39,33.30%,Unrestricted,"$1,429,551 ",,https://www.youtube.com/embed/9Rt7Cu1RZ54
<img src='svi.png' height='80'></img>,Svi Mykhailiuk,G-F,24,"6'7""",205,OKC,12,33,36.40%,Restricted,"$1,522,802 ",,https://www.youtube.com/embed/pp7GwB-fnuo
<img src='hill.png' height='80'></img>,Solomon Hill,F,30,"6'6""",226,ATL,12,41,29.30%,Unrestricted,"$2,174,318 ",,https://www.youtube.com/embed/PhgQtk4sXSY
<img src='johnson.png' height='80'></img>,Tyler Johnson,G,29,"6'3""",186,BKN,12,27,44.40%,Unrestricted,"$2,028,594 ",,https://www.youtube.com/embed/WnKRpEJoQ6k
<img src='ariza.png' height='80'></img>,Trevor Ariza,F,35,"6'8""",215,MIA,12,39,30.80%,Unrestricted,"$12,500,000 ",,https://www.youtube.com/embed/dB10bt0uCCI
<img src='mills.png' height='80'></img>,Patty Mills,G,32,"6'1""",180,SAS,12,28,42.90%,Unrestricted,"$12,000,000 ",,https://www.youtube.com/embed/5L5t_r3G7EE
<img src='morris.png' height='80'></img>,Markieff Morris,F,31,"6'9""",245,LAL,11,29,37.90%,Unrestricted,"$2,331,593 ",,https://www.youtube.com/embed/EbgmPyexEoM
<img src='sjohnson.png' height='80'></img>,Stanley Johnson,G-F,25,"6'6""",242,TOR,11,29,37.90%,Unresticted,"$3,713,575 ",,https://www.youtube.com/embed/ZgklwduRKnE
<img src='scott.png' height='80'></img>,Mike Scott,F,32,"6'7""",238,PHI,11,25,44.00%,Unrestricted,"$4,900,000 ",,https://www.youtube.com/embed/ju_XikvDTcg
<img src='patterson.png' height='80'></img>,Patrick Patterson,F,32,"6'8""",235,LAC,11,27,40.70%,Unrestricted,"$3,077,704 ",,https://www.youtube.com/embed/dO7tAcHaLhY
<img src='graham.png' height='80'></img>,Devonte' Graham,G,26,"6'1""",195,CHA,11,23,47.80%,Restricted,"$1,356,392 ",,https://www.youtube.com/embed/JFvomitbBO8
<img src='collins.png' height='80'></img>,John Collins,F-C,23,"6'9""",235,ATL,11,36,30.60%,Restricted,"$2,764,966 ",,https://www.youtube.com/embed/5gDqRvzoWKM
<img src='rjackson.png' height='80'></img>,Reggie Jackson,G,31,"6'2""",208,LAC,11,35,31.40%,Unrestricted,"$2,331,593 ",,https://www.youtube.com/embed/5JO_Zc5iVEQ
<img src='ellington.png' height='80'></img>,Wayne Ellington,G,33,"6'4""",207,DET,10,33,30.30%,Unrestricted,"$2,564,753 ",,https://www.youtube.com/embed/CO_kR_2WlEE
<img src='leonard.png' height='80'></img>,Kawhi Leonard,F,29,"6'7""",225,LAC,10,19,52.60%,Player Option,"$34,379,100 ",,https://www.youtube.com/embed/iQzmWfSm-jo
<img src='olynyk.png' height='80'></img>,Kelly Olynyk,F-C,30,"6'11""",240,HOU,10,24,41.70%,Unrestricted,"$12,500,000 ",,https://www.youtube.com/embed/PQI3xlWl9Ik
<img src='barton.png' height='80'></img>,Will Barton,G,30,"6'6""",181,DEN,10,22,45.50%,Player Option,"$13,250,000 ",,https://www.youtube.com/embed/az5isozZYVs
<img src='payton.png' height='80'></img>,Elfrid Payton,G,27,"6'3""",195,NYK,9,34,26.50%,Unresticted,"$4,767,000 ",,https://www.youtube.com/embed/JMq5VJpCvQU
<img src='fournier.png' height='80'></img>,Evan Fournier,G-F,28,"6'7""",205,BOS,9,14,64.30%,Unrestricted,"$17,000,000 ",,https://www.youtube.com/embed/gKswc0J3nmk
<img src='monk.png' height='80'></img>,Malik Monk,G,23,"6'3""",200,CHA,8,15,53.30%,Restricted,"$3,931,512 ",,https://www.youtube.com/embed/bmm17ElPysY
<img src='neto.png' height='80'></img>,Raul Neto,G,29,"6'1""",180,WAS,8,26,30.80%,Unrestricted,"$1,882,867 ",,https://www.youtube.com/embed/li4PHWt9l5Y
<img src='millsap.png' height='80'></img>,Paul Millsap,F,36,"6'7""",257,DEN,8,16,50.00%,Unrestricted,"$10,000,000 ",,https://www.youtube.com/embed/it461b4CG6o
<img src='valentine.png' height='80'></img>,Denzel Valentine,G,27,"6'4""",220,CHI,8,26,30.80%,Unrestricted,"$4,642,800 ",,https://www.youtube.com/embed/BwKs3pekvoY
<img src='dragic.png' height='80'></img>,Goran Dragic,G,35,"6'3""",190,MIA,8,16,50.00%,Team Option,"$18,000,000 ",,https://www.youtube.com/embed/D4zMOwmuuJM
<img src='strus.png' height='80'></img>,Max Strus,G-F,25,"6'5""",215,MIA,8,18,44.40%,Restricted,"$647,098 ",,https://www.youtube.com/embed/GQmR_ZiuK7I
<img src='harkless.png' height='80'></img>,Maurice Harkless,G-F,28,"6'7""",220,SAC,8,18,44.40%,Unrestricted,"$3,623,000 ",,https://www.youtube.com/embed/HChIcfIlsfI
<img src='williams.png' height='80'></img>,Lou Williams,G,34,"6'1""",175,ATL,8,18,44.40%,Unrestricted,"$8,000,000 ",,https://www.youtube.com/embed/9y6SGRNL4m4
<img src='nunn.png' height='80'></img>,Kendrick Nunn,G,25,"6'2""",190,MIA,8,26,30.80%,Restricted,"$1,028,483 ",,https://www.youtube.com/embed/d8MBiqqy7Iw
<img src='galloway.png' height='80'></img>,Langston Galloway,G,29,"6'1""",200,PHX,8,25,32.00%,Unrestricted,"$2,028,594 ",,https://www.youtube.com/embed/cX7u5hc7irs
<img src='jamgreen.png' height='80'></img>,JaMychal Green,F-C,30,"6'8""",227,DEN,7,19,36.80%,Player Option,"$7,379,754 ",,https://www.youtube.com/embed/GlUZsO53uLI
<img src='sumner.png' height='80'></img>,Edmond Sumner,G,25,"6'4""",196,IND,7,14,50.00%,Player Option,"$2,160,000 ",,https://www.youtube.com/embed/A57-EPD__9M
<img src='coffey.png' height='80'></img>,Amir Coffey,G-F,24,"6'7""",210,LAC,7,14,50.00%,Restricted,"$578,842 ",,https://www.youtube.com/embed/QHAZlmOKwoQ
<img src='ntilikina.png' height='80'></img>,Frank Ntilikina,G,22,"6'4""",200,NYK,7,11,63.60%,Restricted,"$4,672,305 ",,https://www.youtube.com/embed/ghPFCmjryoM
<img src='clark.png' height='80'></img>,Gary Clark,F,26,"6'6""",225,PHI,7,21,33.30%,Restricted,"$2,018,458 ",,https://www.youtube.com/embed/wqYc6wCRIfs
<img src='nwaba.png' height='80'></img>,David Nwaba,G-F,28,"6'5""",219,HOU,6,19,31.60%,Unrestricted,1382681,,https://www.youtube.com/embed/d3yGCQj7lgU
<img src='porter.png' height='80'></img>,Otto Porter Jr.,F,28,"6'8""",198,ORL,6,11,54.50%,Unrestricted,"$26,631,244 ",,https://www.youtube.com/embed/Cv5UwERoWvU
<img src='mcconell.png' height='80'></img>,T.J. McConnell,G,29,"6'1""",190,IND,6,14,42.90%,Unrestricted,3500000,,https://www.youtube.com/embed/jokt1kcXxHY
<img src='jjohnson.png' height='80'></img>,James Johnson,F,34,"6'7""",240,NOP,6,30,20.00%,Unrestricted,14431700,,https://www.youtube.com/embed/-20b9u2s73k
<img src='mcdermott.png' height='80'></img>,Doug McDermott,F,29,"6'7""",225,IND,5,14,35.70%,Unrestricted,7333333,,https://www.youtube.com/embed/PEAQUi2iJ-s
