,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,ATB_FGM,ATB_FGA,ATB_FG%,win,ortg,pt_diff
55,15,28,0.535714286,8,20,0.4,5,11,0.454545455,1,5,0.2,4,7,0.571428571,11,21,0.523809524,1,126.9,25
56,13,18,0.722222222,12,25,0.48,4,5,0.8,1,3,0.333333333,0,2,0.0,9,31,0.290322581,0,103.7,-15
57,15,20,0.75,13,28,0.464285714,6,16,0.375,1,2,0.5,1,1,1.0,5,22,0.227272727,1,118.5,15
58,10,22,0.454545455,11,20,0.55,6,16,0.375,0,1,0.0,1,4,0.25,13,31,0.419354839,1,121.2,23
59,13,24,0.541666667,6,18,0.333333333,6,16,0.375,0,4,0.0,2,5,0.4,9,26,0.346153846,0,97.2,-23
60,18,25,0.72,6,12,0.5,4,10,0.4,1,3,0.333333333,3,3,1.0,13,30,0.433333333,1,117.6,12
61,16,25,0.64,7,21,0.333333333,5,8,0.625,0,0,,1,3,0.333333333,11,33,0.333333333,0,105.2,-12
62,14,22,0.636363636,6,17,0.352941176,4,12,0.333333333,1,4,0.25,0,3,0.0,8,26,0.307692308,0,98.0,-23
63,11,13,0.846153846,4,6,0.666666667,4,11,0.363636364,2,3,0.666666667,3,6,0.5,16,36,0.444444444,1,123.0,23
64,17,30,0.566666667,8,17,0.470588235,4,20,0.2,0,3,0.0,5,8,0.625,16,32,0.5,0,123.4,-9
65,29,35,0.828571429,10,16,0.625,4,13,0.307692308,1,2,0.5,2,5,0.4,8,23,0.347826087,1,131.7,9
66,17,24,0.708333333,16,29,0.551724138,1,4,0.25,5,8,0.625,0,2,0.0,6,23,0.260869565,1,119.3,6
67,11,21,0.523809524,12,30,0.4,2,4,0.5,1,2,0.5,1,3,0.333333333,15,36,0.416666667,0,113.1,-6
68,16,22,0.727272727,6,13,0.461538462,6,11,0.545454545,2,3,0.666666667,3,4,0.75,8,28,0.285714286,1,120.4,12
69,19,25,0.76,6,15,0.4,4,13,0.307692308,1,3,0.333333333,2,8,0.25,4,14,0.285714286,0,106.8,-12
70,21,35,0.6,9,18,0.5,4,7,0.571428571,3,5,0.6,0,5,0.0,9,26,0.346153846,1,118.1,11
71,12,21,0.571428571,3,11,0.272727273,3,7,0.428571429,3,11,0.272727273,1,1,1.0,12,29,0.413793103,0,106.7,-11
72,12,27,0.444444444,4,11,0.363636364,5,13,0.384615385,1,2,0.5,6,7,0.857142857,7,26,0.269230769,1,108.2,4
73,18,31,0.580645161,8,19,0.421052632,6,20,0.3,1,5,0.2,0,2,0.0,5,14,0.357142857,0,103.9,-4
74,7,14,0.5,9,22,0.409090909,12,20,0.6,0,2,0.0,4,6,0.666666667,9,24,0.375,1,119.5,1
75,14,20,0.7,12,22,0.545454545,3,6,0.5,3,4,0.75,3,5,0.6,9,24,0.375,0,118.5,-1
76,13,20,0.65,16,23,0.695652174,5,10,0.5,1,2,0.5,4,5,0.8,5,26,0.192307692,1,115.0,4
77,19,35,0.542857143,10,22,0.454545455,6,15,0.4,1,5,0.2,1,3,0.333333333,8,20,0.4,0,111.1,-4
78,25,30,0.833333333,9,14,0.642857143,2,7,0.285714286,2,7,0.285714286,2,3,0.666666667,8,18,0.444444444,1,128.1,12
79,20,32,0.625,11,23,0.47826087,4,15,0.266666667,1,4,0.25,0,3,0.0,7,24,0.291666667,0,116.1,-12
80,18,35,0.514285714,6,16,0.375,0,9,0.0,0,6,0.0,1,2,0.5,11,33,0.333333333,0,95.8,-8
81,18,33,0.545454545,4,13,0.307692308,6,10,0.6,0,1,0.0,0,1,0.0,8,22,0.363636364,1,103.9,8
82,21,26,0.807692308,8,14,0.571428571,3,11,0.272727273,3,6,0.5,1,3,0.333333333,11,36,0.305555556,1,123.2,18
83,16,27,0.592592593,7,19,0.368421053,6,13,0.461538462,1,2,0.5,0,3,0.0,6,23,0.260869565,0,105.4,-18
